,(1+p),(1-p),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x+y),(x-n),(x-n*p),(x-y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
445,1.63,0.37,14.67,5.67,19.67,-3.33,5.67,-8.33,9,23,3.33,9,-5,14,-9,-5.67,-14,5,8.33,14,75.922,9,5.67,0.63,75.922,0,14
446,1.23,0.77,22.14,4.14,9.14,-13.86,4.14,-0.86,18,23,13.86,18,13,5,-18,-4.14,-5,-13,0.86,5,108.678,18,4.14,0.23,108.678,0,5
447,1.27,0.73,11.43,19.43,11.43,-6.57,-14.57,-6.57,26,18,6.57,-8,0,26,8,14.57,8,0,6.57,-8,88.038,9,2.43,0.27,71.038,17,9
448,1.17,0.83,7.02,2.02,17.02,-4.98,0.02,-14.98,7,22,4.98,5,-10,17,-5,-0.02,-15,10,14.98,15,84.844,6,1.02,0.17,83.844,1,16
449,1.75,0.25,22.75,24.75,17.75,-3.25,-5.25,1.75,28,21,3.25,-2,5,23,2,5.25,7,-5,-1.75,-7,109.436,13,9.75,0.75,94.436,15,8
450,1.07,0.93,16.05,21.05,12.05,-13.95,-18.95,-9.95,35,26,13.95,-5,4,31,5,18.95,9,-4,9.95,-9,181.74,15,1.05,0.07,161.74,20,11
451,1.9,0.1,20.9,19.9,10.9,-1.1,-0.1,8.9,21,12,1.1,1,10,11,-1,0.1,9,-10,-8.9,-9,70.288,11,9.9,0.9,60.288,10,1
452,1.63,0.37,16.3,22.3,20.3,-3.7,-9.7,-7.7,26,24,3.7,-6,-4,30,6,9.7,2,4,7.7,-2,102.47,10,6.3,0.63,86.47,16,14
453,1.35,0.65,5.4,20.4,20.4,-2.6,-17.6,-17.6,23,23,2.6,-15,-15,38,15,17.6,0,15,17.6,0,70.268,4,1.4,0.35,51.268,19,19
454,1.13,0.87,21.47,4.47,12.47,-16.53,0.47,-7.53,21,29,16.53,17,9,12,-17,-0.47,-8,-9,7.53,8,191.62,19,2.47,0.13,189.62,2,10
455,1.41,0.59,15.51,24.51,11.51,-6.49,-15.49,-2.49,31,18,6.49,-9,4,27,9,15.49,13,-4,2.49,-13,92.556,11,4.51,0.41,72.556,20,7
456,1.59,0.41,11.13,19.13,8.13,-2.87,-10.87,0.13,22,11,2.87,-8,3,19,8,10.87,11,-3,-0.13,-11,42.818,7,4.13,0.59,27.817999999999998,15,4
457,1.4,0.6,14.0,9.0,23.0,-6.0,-1.0,-15.0,15,29,6.0,5,-9,24,-5,1.0,-14,9,15.0,14,139.422,10,4.0,0.4,134.422,5,19
458,1.71,0.29,3.42,19.42,9.42,-0.58,-16.58,-6.58,20,10,0.58,-16,-6,26,16,16.58,10,6,6.58,-10,24.682,2,1.42,0.71,6.681999999999999,18,8
459,1.88,0.12,30.08,19.08,28.08,-1.92,9.08,0.08,21,30,1.92,11,2,19,-11,-9.08,-9,-2,-0.08,9,151.526,16,14.08,0.88,146.526,5,14
460,1.22,0.78,21.96,15.96,13.96,-14.04,-8.04,-6.04,30,28,14.04,6,8,22,-6,8.04,2,-8,6.04,-2,190.112,18,3.96,0.22,178.112,12,10
461,1.86,0.14,31.62,16.62,21.62,-2.38,12.62,7.62,19,24,2.38,15,10,9,-15,-12.62,-5,-10,-7.62,5,150.032,17,14.62,0.86,148.032,2,7
462,1.27,0.73,12.7,15.7,3.7,-7.3,-10.3,1.7,23,11,7.3,-3,9,14,3,10.3,12,-9,-1.7,-12,35.646,10,2.7,0.27,22.646,13,1
463,1.28,0.72,11.52,9.52,7.52,-6.48,-4.48,-2.48,16,14,6.48,2,4,12,-2,4.48,2,-4,2.48,-2,52.186,9,2.52,0.28,45.186,7,5
464,1.15,0.85,5.75,0.75,14.75,-4.25,0.75,-13.25,5,19,4.25,5,-9,14,-5,-0.75,-14,9,13.25,14,60.864,5,0.75,0.15,60.864,0,14
465,1.64,0.36,1.64,6.64,6.64,-0.36,-5.36,-5.36,7,7,0.36,-5,-5,12,5,5.36,0,5,5.36,0,9.01,1,0.64,0.64,3.01,6,6
466,1.16,0.84,15.08,5.08,12.08,-10.92,-0.92,-7.92,16,23,10.92,10,3,13,-10,0.92,-7,-3,7.92,7,127.1,13,2.08,0.16,124.1,3,10
467,1.88,0.12,3.76,13.76,20.76,-0.24,-10.24,-17.24,14,21,0.24,-10,-17,31,10,10.24,-7,17,17.24,7,18.95,2,1.76,0.88,6.949999999999999,12,19
468,1.06,0.94,20.14,8.14,10.14,-17.86,-5.86,-7.86,26,28,17.86,12,10,16,-12,5.86,-2,-10,7.86,2,179.216,19,1.14,0.06,172.216,7,9
469,1.34,0.66,20.1,14.1,24.1,-9.9,-3.9,-13.9,24,34,9.9,6,-4,28,-6,3.9,-10,4,13.9,10,237.014,15,5.1,0.34,228.014,9,19
470,1.07,0.93,5.35,12.35,17.35,-4.65,-11.65,-16.65,17,22,4.65,-7,-12,29,7,11.65,-5,12,16.65,5,92.066,5,0.35,0.07,80.066,12,17
471,1.16,0.84,16.24,7.24,2.24,-11.76,-2.76,2.24,19,14,11.76,9,14,5,-9,2.76,5,-14,-2.24,-5,21.592,14,2.24,0.16,16.592,5,0
472,1.25,0.75,18.75,23.75,16.75,-11.25,-16.25,-9.25,35,28,11.25,-5,2,33,5,16.25,7,-2,9.25,-7,196.036,15,3.75,0.25,176.036,20,13
473,1.69,0.31,20.28,28.28,22.28,-3.72,-11.72,-5.72,32,26,3.72,-8,-2,34,8,11.72,6,2,5.72,-6,125.726,12,8.28,0.69,105.726,20,14
474,1.34,0.66,16.08,15.08,4.08,-7.92,-6.92,4.08,23,12,7.92,1,12,11,-1,6.92,11,-12,-4.08,-11,37.392,12,4.08,0.34,26.392000000000003,11,0
475,1.39,0.61,1.39,7.39,5.39,-0.61,-6.61,-4.61,8,6,0.61,-6,-4,12,6,6.61,2,4,4.61,-2,10.408,1,0.39,0.39,3.4079999999999995,7,5
476,1.12,0.88,22.4,20.4,20.4,-17.6,-15.6,-15.6,38,38,17.6,2,2,36,-2,15.6,0,-2,15.6,0,359.772,20,2.4,0.12,341.772,18,18
477,1.69,0.31,21.97,22.97,23.97,-4.03,-5.03,-6.03,27,28,4.03,-1,-2,29,1,5.03,-1,2,6.03,1,137.596,13,8.97,0.69,123.596,14,15
478,1.38,0.62,24.84,13.84,13.84,-11.16,-0.16,-0.16,25,25,11.16,11,11,14,-11,0.16,0,-11,0.16,0,149.532,18,6.84,0.38,142.532,7,7
479,1.24,0.76,24.8,23.8,6.8,-15.2,-14.2,2.8,39,22,15.2,1,18,21,-1,14.2,17,-18,-2.8,-17,100.06,20,4.8,0.24,81.06,19,2
480,1.06,0.94,1.06,15.06,11.06,-0.94,-14.94,-10.94,16,12,0.94,-14,-10,26,14,14.94,4,10,10.94,-4,25.26,1,0.06,0.06,10.260000000000002,15,11
